,Termin,Przedmiot,Typ,Nauczyciel,Sala,Day,Start time,End time,Duration
0,2026-05-15,Prawo gospodarcze i handlowe,wykład,prof. UEK dr hab. Piotr Horosz,link do zajęć,Pt,15:45,18:15,3
5,2026-05-17,Rachunkowość podatkowa,wykład,dr Witold Furman,link do zajęć,Nd,08:45,11:15,3
6,2026-05-17,Prawo pracy i ubezpieczeń społecznych,wykład,prof. UEK dr hab. Monika Szaraniec,link do zajęć,Nd,11:30,14:00,3
8,2026-05-23,Prawo pracy i ubezpieczenia społeczne,egzamin,prof. UEK dr hab. Monika Szaraniec,Paw.C Nowa Aula,Sb,09:45,11:15,2
